手机名称,属性（价格\数量\状态）
荣耀20（8GB/128GB/全网通,即将上市
联想Z6 青春版（6GB/128GB/,￥1699
一加7 Pro（12GB/256GB/全,￥4999
OPPO Reno（8GB RAM/全网通,￥3599
一加7（8GB/256GB/全网通）,￥2999
华为P30（8GB RAM/全网通）,￥3988
vivo X27（8GB RAM/骁龙710,￥3598
8848 钛金手机M5（巅峰版/,￥1.7万
苹果iPhone 7 Plus（特别版,￥3199
索尼Xperia XZ1（双4G）,￥3999
