手机名称,属性（价格\数量\状态）
华为P30 Pro（全网通）,￥5488
华为P30（8GB RAM/全网通）,￥3988
华为Mate X（全网通）,即将上市
华为Mate 20 Pro（6GB RAM/,￥4899
华为nova 4e（6GB RAM/全网,￥2299
华为Mate 20（全网通）,￥3499
华为nova 4（标配版/全网通,￥2899
华为P20（全网通）,￥3388
华为Mate 20 Pro（8GB RAM/,￥5499
华为畅享9（3GB RAM/全网通,￥999
